#{"t_start": 1722442269.9361308, "env_id": "None"}
r,l,t
-6876545980540394.0,48,11.663265
-2725376274978293.5,48,11.697402
-9237387695019216.0,48,11.731265
-5693933506941138.0,48,11.766485
-2.8529942434974692e+16,48,11.80066
-8259061041110484.0,48,11.834556
-1.2636740886336034e+16,48,11.869529
-4926695814941069.0,48,11.903627
-6901299033254054.0,48,11.93758
-1318187273956021.2,48,11.972797
-2680495904652475.0,48,12.006662
-1.889137097078889e+16,48,12.040659
-1.0030763206450996e+16,48,12.07561
-6565000996196386.0,48,12.10954
-5596384032552250.0,48,12.143302
-1.4273139876368548e+16,48,12.178337
-4148147832016763.5,48,12.212217
-1.2206566544835594e+16,48,12.246109
-6576804299858710.0,48,12.280915
-5779059074815575.0,48,12.31515
-3435462353128114.5,48,12.350413
-7547754615566874.0,48,12.386283
-1.5181647348336544e+16,48,12.420834
-6315972318816577.0,48,12.456527
-8472279530903968.0,48,12.491737
-5550819396668132.0,48,12.526499
-8707462579754129.0,48,12.561914
-9607095099819264.0,48,12.59614
-1.5092208355153342e+16,48,12.630605
-7276166798085776.0,48,12.666068
-6465653100242139.0,48,12.700392
-1.5716320215921624e+16,48,12.734962
-2565428391530519.5,48,12.770658
-1.7662395491191596e+16,48,12.805086
-2.0145716776586932e+16,48,12.839233
-1.5373675716332994e+16,48,12.874815
-2.1188067153318416e+16,48,12.909422
-1.0032952468583116e+16,48,12.943626
-1592512093875856.2,48,12.978937
-2517479202102554.0,48,13.160438
-2096142801870170.2,48,13.196249
-5904828245532424.0,48,13.230949
-1.6690963755904308e+16,48,13.266468
-1.4300867060958994e+16,48,13.300574
-1798771526675351.2,48,13.335265
-4788034084169321.0,48,13.371042
-4127500948594102.0,48,13.405196
-2.263541764961566e+16,48,13.439927
-1.7309506103148106e+16,48,13.475614
-9556121221867578.0,48,13.510379
-1.0887466152202352e+16,48,13.544842
-5856083746358109.0,48,13.580516
-1.6246700923087668e+16,48,13.614879
-8463442686233538.0,48,13.649481
-3591740196470564.5,48,13.684911
-7734732838429885.0,48,13.719393
-1.0174855114445468e+16,48,13.753806
-7083710106356455.0,48,13.789007
-9005407408454855.0,48,13.823033
-2803282154685387.0,48,13.856918
-3530777403651054.0,48,13.892205
-8440053250225645.0,48,13.926111
-3721043511015125.0,48,13.959988
-1488462264908808.0,48,13.995372
-5230949964182728.0,48,14.029324
-7380723028448401.0,48,14.063156
-7140340711039423.0,48,14.098245
-6060992433417258.0,48,14.132217
-6201797133999353.0,48,14.166254
-2937199344483960.0,48,14.201471
-6130803574822179.0,48,14.23519
-6424252793000666.0,48,14.269044
-1892063080078956.5,48,14.304519
-1.1208511283546824e+16,48,14.338935
-2.567856996550782e+16,48,14.372664
-6536105536343045.0,48,14.407961
-3639801647668292.0,48,14.442541
-2019690629380463.0,48,14.476717
-2.636516156104467e+16,48,14.51249
-6858005881338516.0,48,14.546886
-6456885726648332.0,48,14.582521
-2511661130708461.5,48,14.765161
-7387458063819248.0,48,14.800555
-1401689679055613.5,48,14.834591
-3682123897300753.5,48,14.868647
-3325801950186173.5,48,14.904094
-5658312224457443.0,48,14.937811
-5901017376131733.0,48,14.971876
-5202198963547743.0,48,15.007279
-7968150027865133.0,48,15.04114
-1.6486819930219192e+16,48,15.074796
-8066783764600089.0,48,15.109956
-7858102518916563.0,48,15.143989
-2717440422164750.0,48,15.177907
-2242301605008246.0,48,15.212868
-3269207541005338.5,48,15.246737
-2252419119961613.0,48,15.280479
-1.5990664425680054e+16,48,15.315688
-5911105943295257.0,48,15.349427
-6400234251417789.0,48,15.383512
-5868128149478314.0,48,15.418677
-9859567356960552.0,48,15.452603
-8074185607136581.0,48,15.486725
-1.5301371718716638e+16,48,15.522189
-6697329912270089.0,48,15.556082
-1.0891334940010644e+16,48,15.589965
-7365694986571134.0,48,15.62516
-4366045003782440.0,48,15.659081
-4280569292475736.5,48,15.692979
-4468231021883865.0,48,15.728202
-3050559140124705.5,48,15.761836
-4088508604888196.0,48,15.796925
-3.5138075912661136e+16,48,15.831691
-2.214460767989629e+16,48,15.866389
-3369589806340839.0,64,16.166286
-7251226160064736.0,48,16.201906
-1.2345022815497304e+16,48,16.23696
-7988324336917629.0,48,16.271712
-8161932595801348.0,48,16.307517
-8483428737867014.0,48,16.341938
-7815780647612358.0,48,16.376677
-9180600996997782.0,48,16.412427
-3008116414489263.0,48,16.447034
-6320224318604669.0,48,16.481952
-4468570905986824.5,48,16.657169
-9538664492087530.0,48,16.692088
-3130617386605361.5,48,16.727699
-3637151830582907.0,48,16.761835
-1.6828094170434844e+16,48,16.796159
-1.0002313603260226e+16,48,16.831544
-1.4118523126414566e+16,48,16.865778
-3751313905494796.0,48,16.899667
-3437612879808626.0,48,16.935359
-3743241089506193.0,48,16.969827
-1.2145882619465056e+16,48,17.004148
-3.2485673234574932e+16,48,17.039783
-3678816029895606.0,48,17.074114
-3433873461627480.5,48,17.10849
-3645359061924951.5,48,17.144157
-3324643020685549.5,48,17.178099
-9593166664775452.0,48,17.211716
-4829231316111221.0,48,17.246697
-2927405388926278.0,48,17.280457
-3007246097133078.5,48,17.315157
-9279570879030840.0,48,17.349021
-4416944404903140.0,48,17.382646
-3818297444327446.0,48,17.417592
-2395678849151794.0,48,17.451103
-2517846255415204.5,48,17.484768
-3751921532294037.0,48,17.519679
-6256202403212858.0,48,17.553269
-1.171733079643678e+16,48,17.586772
-3364938343789650.5,48,17.621786
-6130739520918952.0,48,17.655414
-6235051132543952.0,48,17.689036
-5518409369308496.0,48,17.723763
-7757119730401713.0,48,17.757361
-8410529412874833.0,48,17.791065
-4740993834496292.0,48,17.825797
-8367547266519084.0,48,17.859136
-7495947687117192.0,48,17.892761
-4596484487379955.0,48,17.92742
-4619664062855456.0,48,17.960896
-7923213170755029.0,48,17.994364
-1780224298004190.0,48,18.029163
-1288756906394732.2,48,18.062623
-1.8437443165040736e+16,48,18.235862
-3067449825802636.0,48,18.268917
-3.4887341750163584e+16,48,18.302003
-1.5724358963581494e+16,48,18.336354
-2128370208013127.0,48,18.369344
-4134930411692973.5,48,18.402292
-3607863693894050.0,48,18.436475
