#{"t_start": 1722443081.6461415, "env_id": "None"}
r,l,t
-5.3956931687046824e+26,48,16.526025
-6.683301680626349e+26,48,16.723258
-1.0733992008026171e+26,48,16.757969
-2.8501053295491824e+27,48,16.792137
-2.4500191058411524e+27,48,16.827443
-5.5097679819028816e+26,48,16.861728
-1.870562357367933e+26,48,16.895683
-8.155339626655479e+26,48,16.931154
-2.750575493028999e+26,48,16.965375
-4.810926665920351e+26,48,16.999299
-5.972890420628585e+26,48,17.034468
-5.208725785868566e+26,48,17.068253
-3.276840038060197e+26,48,17.101929
-4.3269697416816895e+26,48,17.137349
-4.2810170691875784e+26,48,17.17121
-2.100364900514633e+27,48,17.204976
-4.521495499921945e+26,48,17.240773
-1.9714942663435654e+27,48,17.274811
-1.0187219628261825e+26,48,17.30931
-3.7854050903583914e+25,48,17.345794
-3.956124330360468e+26,48,17.380069
-1.7053023759125702e+27,48,17.413997
-5.716409110329746e+25,48,17.449744
-3.3546648786716046e+26,48,17.483631
-5.222944172327554e+26,48,17.517978
-1.0404423012243316e+27,48,17.55477
-5.417850819230938e+27,48,17.588799
-8.552375806620228e+26,48,17.622556
-1.642257780101748e+27,48,17.657985
-1.465284016108146e+27,48,17.69248
-1.4815970238261598e+27,48,17.726621
-9.628699209889762e+25,48,17.761975
-6.537831219940113e+26,48,17.796196
-6.55565393523277e+26,48,17.83181
-4.0811609508805976e+26,48,17.866364
-3.6495689799421555e+26,48,17.900684
-8.34170256794484e+25,48,17.936102
-1.8788336813198205e+27,48,17.970428
-4.8225008381234696e+27,48,18.00479
-2.3990526426940243e+27,48,18.040481
-2.8156558781686075e+26,48,18.074804
-4.069515556198794e+27,48,18.109155
-2.68684909680247e+27,48,18.144831
-2.5667320754908294e+27,48,18.332415
-3.558596813102817e+26,48,18.368167
-1.495953450659542e+27,48,18.402816
-8.006160152639408e+25,48,18.436752
-1.822212209792441e+26,48,18.472229
-5.368639104798143e+26,48,18.506251
-3.680635643375941e+26,48,18.541544
-2.1626165312561323e+26,48,18.575926
-6.081230686422394e+26,48,18.609999
-1.9681932623119325e+26,48,18.644709
-1.0549888745085153e+27,48,18.678777
-1.7975351585616042e+27,48,18.712603
-4.1679490981972637e+27,48,18.7475
